event_id,category_id,name,time
237656768,2,3 X Emmy Award Winner Julia Bruck shares how to Speak & Present with Confidence!,2017-03-08 00:15:00
236699104,2,Financial Fitness Workshop for W.O.M.E.N. Entrepreneurs,2017-02-08 00:30:00
236262095,2,"""Walking In Your Power"" with Guest Speaker Valerie Priester",2017-01-04 00:30:00
235773593,2,W.O.M.E.N. Learn how YOUR Network = YOUR Net-worth!,2016-12-07 00:30:00
234681524,2,W.O.M.E.N. 2017 Calendar Workshop,2016-11-01 23:30:00
234278517,2,Come Learn The Top 5 Things Successful W.O.M.E.N Entrepreneurs Know!,2016-10-04 23:30:00
233186906,2,W.O.M.E.N. Learn from Dr. Ila Foster on How to Maintain Optimal Health!,2016-09-06 23:30:00
232786672,2,Nashville W.O.M.E.N. come Learn Speed Networking 2.0!,2016-08-02 23:30:00
232225108,2,"W.O.M.E.N  "" SHOW & TELL"" Workshop",2016-07-05 23:30:00
232225121,2,"W.O.M.E.N  "" SHOW & TELL"" Workshop",2016-07-05 23:30:00
230972073,2,W.O.M.E.N. Renowned Author & Speaker       Ann Haney in June,2016-06-07 23:30:00
230423076,2,"Learn how you can achieve true ""Balance""­ at Business & Home!",2016-05-03 23:30:00
229478617,2,"W.O.M.E.N. "" Perfect YOUR Pitch"" Workshop",2016-04-05 23:30:00
228924157,2,W.O.M.E.N. Cold Market Prospecting Workshop,2016-03-02 00:30:00
227518977,2,W.O.M.E.N. January is a NEW YEAR - A NEW YOU! LIVE Workshop,2016-01-06 00:30:00
226993329,2,W.O.M.E.N. Holiday Joy and Networking!,2015-12-02 00:30:00
225897838,2,"I AM SPOILT "" SPECIAL EVENT"" Benifiting W.O.M.E.N. & LUNG FORCE",2015-11-08 19:00:00
225897610,2,"W.O.M.E.N. ""Create Abundance"" Workshop!",2015-11-04 00:30:00
pnbgflywnbjc,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-10-26 23:30:00
hctshlywnbfc,22,"Reiki & Sound with Robin - Franklin, TN",2017-10-23 23:30:00
242803456,22,Psychic Defense Class,2017-10-22 15:00:00
cxchpmywnbcc,22,Sacred Sound Immersion Meditation,2017-10-21 23:30:00
pnbgflywnbzb,22,"FREE! The Basics of Reiki, Chakra Balancing & Energy Healing (Reiki Share)",2017-10-19 23:30:00
242803324,22,Usui Tibetan Reiki Master Teacher Level 3 Class & Attunement - 9 LMT CEU's,2017-10-15 14:00:00
243395632,22,The Power of Your Intuition: Re-Programming & Mastering the Sub-Conscious Mind 2,2017-10-14 22:00:00
