user_id,category_id,weight
204426507,34,4
204840680,34,1
204960806,34,5
205085635,34,11
205335355,34,1
205780937,34,2
205916686,34,1
206165705,34,1
206542079,34,1
206598883,34,2
206599239,34,1
206725618,34,2
206742428,34,2
206748428,34,4
207034817,34,2
207061281,34,1
207185905,34,1
207474814,34,1
207741466,34,2
207978090,34,2
208626642,34,1
208841814,34,5
208946987,34,1
209019191,34,1
209022746,34,2
209078263,34,3
209243381,34,6
209512622,34,1
209842501,34,3
210204698,34,1
210320785,34,1
210333094,34,1
210347394,34,2
210689617,34,2
210816303,34,1
211366231,34,5
211941374,34,1
211989895,34,3
211998902,34,1
212356550,34,2
212538180,34,1
212569310,34,2
212880490,34,1
213875271,34,2
214085642,34,2
214705629,34,1
214759070,34,1
214761951,34,4
214867058,34,1
214888554,34,1
214927387,34,1
215114617,34,1
215659281,34,1
216009641,34,1
216673978,34,3
216748395,34,1
216789432,34,1
216866901,34,8
216923954,34,3
217449348,34,1
217821513,34,1
217867797,34,1
217948339,34,1
217953476,34,2
219530472,34,1
219586834,34,8
219798958,34,1
219867361,34,1
220614626,34,3
221251986,34,1
221311902,34,3
221737460,34,1
222025229,34,1
222045706,34,1
222145950,34,1
222300882,34,1
222497767,34,1
222588274,34,1
222897145,34,3
222960010,34,1
223384586,34,1
224702678,34,1
225054169,34,1
225172061,34,1
225223954,34,1
225289289,34,1
225306413,34,1
225417090,34,1
225417797,34,1
226888239,34,4
227201818,34,1
227446500,34,1
227587232,34,1
228269454,34,1
229310518,34,1
229418539,34,1
229914179,34,2
230117068,34,1
230528424,34,1
231676557,34,1
233747012,34,1
235792627,34,1
236512528,34,1
237699048,34,1
238516470,34,1
238713924,34,1
2069,34,1
128185,34,1
247029,34,1
1909887,34,1
2896514,34,2
3246917,34,3
3408426,34,1
3661197,34,4
4169858,34,1
4193895,34,11
4211111,34,1
4353024,34,2
4389320,34,1
4583759,34,2
4816173,34,2
4940157,34,2
5900662,34,10
6013130,34,7
6468907,34,3
7643395,34,1
7981818,34,1
8228323,34,2
9657641,34,3
9986685,34,4
10560415,34,2
10738448,34,1
11832553,34,1
11872972,34,3
12307860,34,1
12688278,34,1
13399973,34,1
13783999,34,1
13814003,34,4
14129264,34,1
14593999,34,2
14638667,34,3
15270451,34,1
16598561,34,1
18382441,34,1
24889702,34,1
25765422,34,1
28988302,34,3
31487922,34,2
34817302,34,4
38783652,34,1
43237102,34,1
50233702,34,6
53121132,34,2
54437942,34,25
57169392,34,2
59313302,34,1
60802462,34,1
61128582,34,1
63282212,34,1
63821422,34,1
64429432,34,6
67315132,34,8
70666292,34,1
71327802,34,1
71851852,34,4
71854632,34,3
73243812,34,1
73329392,34,11
76688702,34,1
82204922,34,1
85437112,34,2
85552772,34,18
85557392,34,2
92644982,34,2
96240802,34,2
96329502,34,1
96827312,34,1
101457082,34,14
105170352,34,6
108490052,34,1
110489102,34,4
111704482,34,2
113522242,34,8
115296842,34,2
117760522,34,1
119047942,34,1
120761882,34,2
121431352,34,1
125677922,34,1
126066112,34,5
127214502,34,2
129122472,34,1
130503622,34,1
135113782,34,2
139457262,34,1
141376462,34,2
144139422,34,1
151878492,34,4
154297762,34,1
157248622,34,1
157915572,34,1
158505502,34,2
158781422,34,13
160338602,34,1
168261002,34,5
170270452,34,6
173446392,34,1
177624852,34,15
180863482,34,17
182810851,34,1
182814931,34,1
182823823,34,4
182983777,34,1
183015093,34,1
183029100,34,1
183225365,34,1
183355392,34,4
183378188,34,1
183447968,34,1
183613837,34,1
183636449,34,1
183659437,34,1
183750106,34,1
184328214,34,1
184437777,34,8
184920661,34,2
185941640,34,1
185967601,34,1
186009000,34,1
186700791,34,8
187002184,34,1
187188675,34,1
187520683,34,1
187866086,34,2
188147962,34,2
188209941,34,1
188612875,34,1
189910252,34,1
190664107,34,3
190787043,34,2
191223779,34,1
191781789,34,1
191814735,34,13
191819003,34,1
192809184,34,1
193063144,34,2
193185381,34,1
194768312,34,1
195808038,34,1
196390199,34,1
196618544,34,2
196925637,34,4
198035194,34,2
199075780,34,1
199130686,34,1
199170497,34,1
199981939,34,1
200750517,34,1
201154548,34,1
202794682,34,2
203160990,34,1
203315975,34,1
204081245,34,3
204156921,34,1
204427351,34,1
204614028,34,3
204878170,34,1
204923809,34,1
205330458,34,2
208025465,34,5
208426796,34,1
211428312,34,1
213237301,34,1
214688193,34,3
215065731,34,1
215085358,34,1
215970349,34,1
217160398,34,2
217717031,34,1
217775215,34,2
217819296,34,1
219318584,34,1
219472223,34,1
221824283,34,1
222212836,34,1
223258519,34,1
223344208,34,2
223756638,34,1
223756815,34,1
224455577,34,1
224814154,34,1
224824626,34,1
225172061,34,1
229142187,34,1
229158454,34,1
229182544,34,1
229585822,34,1
229663748,34,4
230131151,34,2
232433129,34,2
232777960,34,1
2069,34,2
414065,34,1
2659646,34,1
